company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
9349070-4,United (Pvt) Ltd,2019-11-10,"House 973, Street 42, Cantt, Sialkot",Trading,Active,50000000
9254128-6,Summit Builders,2018-04-19,"House 519, Street 32, Westridge, Rawalpindi",Real Estate,Active,50000000
9791682-0,Premier Builders,2020-12-26,"House 36, Street 4, Model Town, Gujranwala",Real Estate,Active,50000000
3438775-9,United Builders,2022-02-15,"House 971, Street 11, Bahria Town, Rawalpindi",Trading,Active,50000000
3435643-7,Crescent Associates,2008-09-04,"House 506, Street 27, Satellite Town, Rawalpindi",Food & Beverage,Active,50000000
1231794-9,United Associates,2013-03-20,"House 743, Street 49, Clifton, Karachi",IT Services,Active,50000000
2674280-5,Summit (Pvt) Ltd,2014-11-09,"House 966, Street 33, G-11, Islamabad",Logistics,Active,50000000
5185170-7,United Builders,2014-10-13,"House 95, Street 8, Paris Road, Sialkot",Import/Export,Active,50000000
5244387-7,Summit Enterprises,2022-12-06,"House 963, Street 51, Bahria Town, Rawalpindi",Logistics,Active,50000000
2911900-8,Star International,2019-10-14,"House 662, Street 24, Shah Rukn-e-Alam, Multan",Trading,Active,500000000
2281426-3,Capital Builders,2021-03-12,"House 755, Street 56, Gulgasht Colony, Multan",Trading,Active,50000000
5185106-1,Capital Enterprises,2010-12-09,"House 587, Street 58, Model Town, Sialkot",Trading,Active,50000000
2661949-1,Allied Holdings,2021-02-10,"House 645, Street 23, University Town, Peshawar",Import/Export,Active,50000000
3727035-7,Pak International,2017-10-05,"House 119, Street 41, Satellite Town, Rawalpindi",Real Estate,Active,50000000
9950080-9,Crescent Builders,2012-08-28,"House 624, Street 2, Gulgasht Colony, Multan",Construction,Active,50000000
5815005-3,Global Industries,2023-02-07,"House 930, Street 60, Clifton, Karachi",Food & Beverage,Active,500000000
9140528-1,Crescent Holdings,2011-11-23,"House 515, Street 52, DHA Phase 6, Karachi",Construction,Active,50000000
2730119-7,Capital Builders,2008-11-15,"House 120, Street 10, Hayatabad, Peshawar",Real Estate,Active,50000000
4865918-2,Capital Holdings,2015-03-20,"House 130, Street 16, Satellite Town, Gujranwala",Trading,Active,500000000
2705682-2,Metro Enterprises,2009-11-17,"House 463, Street 24, Westridge, Rawalpindi",IT Services,Active,50000000
3394984-9,Royal Traders,2012-06-17,"House 740, Street 40, Bahria Town, Lahore",Trading,Active,50000000
6255160-2,Pak (Pvt) Ltd,2022-01-11,"House 672, Street 59, Gulbahar, Peshawar",Logistics,Active,50000000
9130793-7,Summit Holdings,2018-02-27,"House 805, Street 6, Peoples Colony, Faisalabad",Import/Export,Active,50000000
1791809-2,Global Traders,2017-07-06,"House 933, Street 7, Peoples Colony, Gujranwala",Pharmaceuticals,Active,500000000
8184233-3,Pak Holdings,2021-05-29,"House 329, Street 59, Gulberg III, Lahore",Food & Beverage,Active,500000000
5061293-1,Crescent Holdings,2023-01-11,"House 439, Street 48, G-9, Islamabad",Construction,Active,500000000
7185212-2,Apex International,2011-07-29,"House 905, Street 30, Satellite Town, Rawalpindi",Textile,Active,50000000
9111471-0,Summit (Pvt) Ltd,2019-09-09,"House 969, Street 21, Cantt, Multan",Textile,Active,50000000
8754454-8,United (Pvt) Ltd,2010-10-04,"House 365, Street 38, Bahria Town, Rawalpindi",Construction,Active,50000000
3297959-3,Global International,2020-03-22,"House 122, Street 49, Wapda Town, Lahore",Pharmaceuticals,Active,50000000
5202320-6,Allied (Pvt) Ltd,2017-08-30,"House 213, Street 46, Gulberg III, Lahore",Food & Beverage,Active,50000000
9026867-7,Star Holdings,2021-12-20,"House 807, Street 41, Jaranwala Road, Faisalabad",Import/Export,Active,50000000
1154720-3,Crescent Enterprises,2019-12-15,"House 966, Street 33, Model Town, Sialkot",Textile,Active,50000000
8583484-4,Royal Traders,2023-09-19,"House 467, Street 39, Shah Rukn-e-Alam, Multan",Trading,Active,50000000
5233585-9,Crescent Traders,2010-02-04,"House 555, Street 20, G-10, Islamabad",Pharmaceuticals,Active,50000000
1427389-6,Pak Industries,2012-10-07,"House 689, Street 42, Kashmir Road, Sialkot",Textile,Active,500000000
2201900-9,Capital (Pvt) Ltd,2023-09-23,"House 561, Street 40, Cantt, Sialkot",Food & Beverage,Active,50000000
4557255-7,Apex Enterprises,2020-09-09,"House 965, Street 51, Bahria Town, Islamabad",Pharmaceuticals,Active,50000000
9790619-3,Pak Industries,2012-01-04,"House 937, Street 1, Cantt, Sialkot",Logistics,Active,50000000
2845484-5,Royal Enterprises,2009-05-20,"House 207, Street 24, G-9, Islamabad",Real Estate,Active,50000000
4791850-3,Pak Enterprises,2018-09-05,"House 855, Street 28, Westridge, Rawalpindi",Food & Beverage,Active,50000000
6305409-9,Premier International,2022-02-17,"House 522, Street 52, Chaklala Scheme 3, Rawalpindi",Textile,Active,50000000
6750672-9,Premier Associates,2022-07-11,"House 606, Street 4, Model Town, Sialkot",Logistics,Active,50000000
7458137-2,Apex Holdings,2013-11-14,"House 784, Street 19, Bahria Town, Lahore",Logistics,Active,50000000
2850033-2,Royal Builders,2009-02-28,"House 694, Street 34, Satellite Town, Gujranwala",Pharmaceuticals,Active,50000000
1430662-2,Summit Holdings,2020-01-31,"House 597, Street 20, Gulbahar, Peshawar",Import/Export,Active,50000000
2140408-9,Allied Associates,2011-01-26,"House 178, Street 17, Peoples Colony, Faisalabad",Real Estate,Active,500000000
8128754-2,Global International,2017-04-03,"House 128, Street 11, Gulbahar, Peshawar",IT Services,Active,50000000
6264339-2,Crescent (Pvt) Ltd,2019-12-15,"House 606, Street 50, F-8, Islamabad",Logistics,Active,500000000
5475085-6,Capital International,2015-03-03,"House 299, Street 6, Shah Rukn-e-Alam, Multan",Textile,Active,50000000
6269992-4,Global Traders,2018-11-07,"House 59, Street 44, Paris Road, Sialkot",Trading,Active,500000000
8196996-9,Summit Enterprises,2009-11-02,"House 165, Street 41, Bahria Town, Rawalpindi",Food & Beverage,Active,50000000
2363553-3,Capital Enterprises,2018-08-21,"House 607, Street 29, Jaranwala Road, Faisalabad",Real Estate,Active,50000000
1600975-4,Premier Holdings,2021-07-27,"House 849, Street 53, Wapda Town, Lahore",Trading,Active,50000000
2337721-5,Crescent International,2015-10-01,"House 365, Street 44, I-8, Islamabad",Trading,Active,50000000
1469318-7,Metro Enterprises,2018-03-06,"House 608, Street 32, Gulgasht Colony, Multan",Construction,Active,50000000
4043820-6,Apex Holdings,2013-08-13,"House 405, Street 37, Jaranwala Road, Faisalabad",Construction,Active,50000000
1007343-6,Pak Industries,2020-01-28,"House 902, Street 38, F-10, Islamabad",Logistics,Active,50000000
3015832-9,Apex Traders,2010-01-17,"House 915, Street 47, Model Town, Sialkot",Import/Export,Active,50000000
6532806-8,Pak Enterprises,2023-05-17,"House 936, Street 45, Model Town, Lahore",Textile,Active,50000000
5574151-3,Capital Industries,2010-06-16,"House 283, Street 22, Paris Road, Sialkot",IT Services,Active,50000000
2416255-9,Apex Traders,2015-01-31,"House 72, Street 3, Peoples Colony, Gujranwala",Real Estate,Active,50000000
9897404-2,Global Builders,2017-06-24,"House 191, Street 45, Model Town, Multan",IT Services,Active,50000000
9478786-5,Apex Associates,2008-03-02,"House 156, Street 48, Bahria Town, Islamabad",Real Estate,Active,50000000
5275707-1,Crescent Associates,2018-11-11,"House 594, Street 17, Madina Town, Faisalabad",Food & Beverage,Active,50000000
5965622-3,Crescent Traders,2015-06-26,"House 600, Street 18, Gulshan-e-Iqbal, Karachi",Trading,Active,50000000
3088989-5,Crescent Builders,2018-10-07,"House 655, Street 49, F-6, Islamabad",Pharmaceuticals,Active,50000000
9442687-6,Capital Associates,2021-09-24,"House 86, Street 29, Gulgasht Colony, Multan",Construction,Active,50000000
9520916-4,Star (Pvt) Ltd,2015-04-02,"House 890, Street 52, Satellite Town, Rawalpindi",IT Services,Active,50000000
5356131-5,Premier Enterprises,2009-03-06,"House 569, Street 56, Paris Road, Sialkot",Trading,Active,50000000
3919300-3,Premier Builders,2017-02-15,"House 667, Street 51, G-11, Islamabad",Real Estate,Active,50000000
2891089-8,Global Industries,2019-10-16,"House 249, Street 55, Bahria Town, Rawalpindi",Real Estate,Active,50000000
6345078-4,Pak Traders,2017-10-06,"House 629, Street 57, Model Town, Gujranwala",Real Estate,Active,50000000
1687655-7,Crescent Associates,2019-12-01,"House 463, Street 42, Gulbahar, Peshawar",Import/Export,Active,50000000
1266121-3,Global Enterprises,2008-01-10,"House 399, Street 45, Jaranwala Road, Faisalabad",Real Estate,Active,50000000
4725176-9,Capital Traders,2019-12-31,"House 996, Street 28, Paris Road, Sialkot",Food & Beverage,Active,50000000
3268904-1,Premier Traders,2013-11-21,"House 982, Street 19, PECHS, Karachi",Import/Export,Active,50000000
1929311-1,Capital (Pvt) Ltd,2019-05-29,"House 372, Street 9, D Ground, Faisalabad",Food & Beverage,Active,500000000
9350662-8,Crescent Associates,2015-03-06,"House 216, Street 50, Model Town, Gujranwala",IT Services,Active,500000000
6605415-9,Global International,2015-12-23,"House 254, Street 15, D Ground, Faisalabad",Construction,Active,50000000
8444008-8,Crescent Enterprises,2022-10-18,"House 237, Street 12, F-7, Islamabad",Textile,Active,500000000
5512791-7,Allied Builders,2012-04-01,"House 803, Street 53, Shah Rukn-e-Alam, Multan",Textile,Active,50000000
5605544-8,Apex Holdings,2020-07-21,"House 449, Street 40, F-6, Islamabad",Food & Beverage,Active,50000000
2814115-7,Allied International,2018-09-28,"House 42, Street 16, Satellite Town, Gujranwala",Trading,Active,50000000
9062458-8,Allied (Pvt) Ltd,2014-10-07,"House 730, Street 25, F-6, Islamabad",Import/Export,Active,500000000
8330850-6,Metro (Pvt) Ltd,2013-03-07,"House 905, Street 38, Hayatabad, Peshawar",Construction,Active,50000000
4715976-0,Crescent Builders,2018-07-24,"House 234, Street 36, Cantt, Peshawar",Real Estate,Active,50000000
8052776-0,Metro (Pvt) Ltd,2011-08-03,"House 709, Street 55, Clifton, Karachi",Textile,Active,50000000
3124765-2,Royal Traders,2023-03-20,"House 962, Street 56, I-8, Islamabad",IT Services,Active,50000000
4136162-7,Premier Holdings,2019-03-13,"House 16, Street 19, Madina Town, Faisalabad",Import/Export,Active,50000000
5271407-3,Crescent Enterprises,2013-12-22,"House 514, Street 23, G-9, Islamabad",Construction,Active,500000000
1580806-6,Capital Industries,2016-01-03,"House 491, Street 24, Madina Town, Faisalabad",Import/Export,Active,500000000
5662703-4,Summit Builders,2013-03-07,"House 729, Street 11, Model Town, Sialkot",Pharmaceuticals,Active,500000000
3955980-9,Royal Holdings,2019-03-06,"House 890, Street 60, F-8, Islamabad",Food & Beverage,Active,50000000
9537060-5,Allied International,2016-10-31,"House 889, Street 4, Model Town, Gujranwala",Food & Beverage,Active,500000000
1641595-3,Allied Enterprises,2008-07-03,"House 421, Street 21, Westridge, Rawalpindi",Construction,Active,500000000
3699453-0,Summit Enterprises,2013-11-12,"House 698, Street 4, North Nazimabad, Karachi",IT Services,Active,500000000
2557499-3,Crescent Enterprises,2010-09-14,"House 132, Street 57, Model Town, Multan",Construction,Active,50000000
4018211-9,Capital Associates,2023-03-21,"House 791, Street 19, Jaranwala Road, Faisalabad",Textile,Active,50000000
8415515-1,Global Associates,2019-03-06,"House 93, Street 47, Paris Road, Sialkot",IT Services,Active,50000000
3844501-9,Allied (Pvt) Ltd,2014-09-25,"House 661, Street 59, Bahadurabad, Karachi",Food & Beverage,Active,50000000
5660664-7,Crescent (Pvt) Ltd,2012-07-13,"House 778, Street 37, Bahria Town, Lahore",Logistics,Active,50000000
1760614-5,Apex Enterprises,2014-04-26,"House 397, Street 27, Cantt, Multan",IT Services,Active,500000000
2015742-9,Apex Builders,2010-10-09,"House 902, Street 22, Gulgasht Colony, Multan",Pharmaceuticals,Active,50000000
3074770-8,Capital Holdings,2016-02-15,"House 625, Street 49, North Nazimabad, Karachi",Food & Beverage,Active,50000000
5932783-1,Capital International,2013-07-02,"House 159, Street 57, Gulbahar, Peshawar",Construction,Active,500000000
1351575-1,Capital (Pvt) Ltd,2008-09-02,"House 252, Street 9, DHA-I, Rawalpindi",Construction,Active,50000000
5797628-5,United Holdings,2023-01-01,"House 800, Street 1, Bahria Town, Rawalpindi",Logistics,Active,500000000
3062135-0,Summit Builders,2013-11-03,"House 130, Street 22, Kashmir Road, Sialkot",Trading,Active,50000000
6496801-2,Premier (Pvt) Ltd,2016-07-30,"House 239, Street 1, Peoples Colony, Gujranwala",IT Services,Active,500000000
9291522-6,Crescent Holdings,2015-12-27,"House 258, Street 59, Paris Road, Sialkot",Textile,Active,50000000
9127761-7,Crescent Enterprises,2013-11-24,"House 753, Street 3, Model Town, Sialkot",IT Services,Active,500000000
8222850-1,Capital Traders,2013-06-20,"House 222, Street 50, PECHS, Karachi",Textile,Active,50000000
5286443-0,Metro Holdings,2011-02-01,"House 991, Street 1, Westridge, Rawalpindi",Food & Beverage,Active,500000000
4294258-2,Allied Traders,2022-08-03,"House 914, Street 21, Bahria Town, Rawalpindi",Trading,Active,50000000
7819479-0,Premier Builders,2016-04-25,"House 8, Street 42, Gulgasht Colony, Multan",Textile,Active,50000000
4385220-8,Pak Holdings,2017-06-12,"House 142, Street 25, DHA Phase 6, Karachi",Pharmaceuticals,Active,50000000
8784394-8,Star Enterprises,2023-01-28,"House 810, Street 35, Westridge, Rawalpindi",Food & Beverage,Active,50000000
6311620-7,United Enterprises,2017-04-21,"House 845, Street 28, Gulbahar, Peshawar",Food & Beverage,Active,50000000
1011884-0,Metro Traders,2011-03-31,"House 226, Street 21, PECHS, Karachi",IT Services,Active,50000000
8605152-1,Capital Associates,2011-06-28,"House 443, Street 8, Madina Town, Faisalabad",Pharmaceuticals,Active,50000000
5995437-3,Star (Pvt) Ltd,2015-07-07,"House 131, Street 2, Gulbahar, Peshawar",Import/Export,Active,50000000
9743802-6,Premier Enterprises,2009-04-05,"House 253, Street 49, Gulshan-e-Iqbal, Karachi",Construction,Active,50000000
3923715-0,Premier Enterprises,2008-03-01,"House 161, Street 47, Gulshan-e-Iqbal, Karachi",Trading,Active,500000000
7076278-4,Apex Traders,2021-10-02,"House 340, Street 51, G-10, Islamabad",Textile,Active,50000000
4526025-6,Star (Pvt) Ltd,2021-03-15,"House 919, Street 29, Hayatabad, Peshawar",Textile,Active,50000000
8854939-4,Summit Holdings,2012-12-14,"House 403, Street 39, Peoples Colony, Faisalabad",Textile,Active,50000000
9551574-3,United Traders,2019-04-29,"House 84, Street 36, DC Colony, Gujranwala",Trading,Active,50000000
1321681-6,Metro Industries,2014-08-11,"House 765, Street 8, Cantt, Multan",Trading,Active,50000000
9767855-8,Capital Traders,2012-03-20,"House 809, Street 20, Model Town, Multan",Food & Beverage,Active,500000000
6561107-3,Premier Industries,2012-10-11,"House 226, Street 41, Satellite Town, Gujranwala",Food & Beverage,Active,50000000
2680354-0,Summit Traders,2012-09-05,"House 252, Street 20, Cantt, Sialkot",Import/Export,Active,50000000
5428281-5,Capital Traders,2012-11-07,"House 894, Street 45, DHA-I, Rawalpindi",Construction,Active,50000000
6072163-0,Capital International,2009-08-09,"House 976, Street 27, University Town, Peshawar",IT Services,Active,50000000
3198168-1,Crescent Enterprises,2020-07-23,"House 382, Street 59, University Town, Peshawar",Food & Beverage,Active,500000000
9951505-7,Crescent Builders,2012-09-06,"House 124, Street 4, G-9, Islamabad",Textile,Active,50000000
8624455-4,Star Traders,2018-09-09,"House 507, Street 58, University Town, Peshawar",Food & Beverage,Active,50000000
9414431-3,Royal Industries,2011-05-30,"House 615, Street 30, Hayatabad, Peshawar",Trading,Active,50000000
8486735-9,Pak Holdings,2019-07-14,"House 819, Street 23, Model Town, Multan",Textile,Active,50000000
3517835-9,Global Holdings,2023-10-09,"House 177, Street 33, Gulberg III, Lahore",Logistics,Active,500000000
9336249-6,Metro Traders,2010-06-22,"House 926, Street 39, Satellite Town, Rawalpindi",Import/Export,Active,500000000
9052364-8,Summit (Pvt) Ltd,2010-12-06,"House 686, Street 14, Cantt, Multan",Pharmaceuticals,Active,50000000
1569491-6,Global Enterprises,2014-10-07,"House 363, Street 16, Peoples Colony, Faisalabad",Import/Export,Active,50000000
9480177-8,Premier Associates,2008-02-26,"House 149, Street 51, DHA-I, Rawalpindi",Real Estate,Active,500000000
5033591-3,Global Industries,2021-02-24,"House 777, Street 18, Satellite Town, Rawalpindi",Real Estate,Active,500000000
6503014-6,Metro (Pvt) Ltd,2011-10-30,"House 306, Street 55, Shah Rukn-e-Alam, Multan",Trading,Active,500000000
4291190-3,Crescent (Pvt) Ltd,2011-09-22,"House 685, Street 31, Westridge, Rawalpindi",Trading,Active,500000000
9126254-0,Capital Enterprises,2021-08-24,"House 434, Street 13, Bahria Town, Islamabad",Construction,Active,50000000
4509478-6,Summit International,2014-11-20,"House 627, Street 48, Clifton, Karachi",Construction,Active,50000000
4937912-8,Capital International,2011-08-18,"House 114, Street 60, Hayatabad, Peshawar",Construction,Active,50000000
4109700-4,Royal Builders,2020-12-28,"House 392, Street 16, Model Town, Gujranwala",Food & Beverage,Active,50000000
6669371-2,Pak Traders,2009-01-02,"House 475, Street 35, G-10, Islamabad",Real Estate,Active,50000000
9794378-0,Star Enterprises,2009-03-29,"House 643, Street 12, Kashmir Road, Sialkot",Construction,Active,50000000
4516755-2,Star Enterprises,2015-03-25,"House 57, Street 34, Satellite Town, Gujranwala",Logistics,Active,50000000
9769058-9,Global Enterprises,2023-03-30,"House 289, Street 18, Johar Town, Lahore",Trading,Active,50000000
1476075-0,Pak Industries,2010-05-07,"House 317, Street 36, Hayatabad, Peshawar",Textile,Active,50000000
3167617-3,Global International,2008-06-24,"House 259, Street 27, Kashmir Road, Sialkot",Import/Export,Active,50000000
